GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14
1500000US360470003015,360470003015,"Block Group 5, Census Tract 3.01, Kings County, New York",463,178,379,174,84,92,42,64,42,64,0,12,42,66,0,12,42,66,0,12,0,12,0,12,0,12,0,12
1500000US360470005011,360470005011,"Block Group 1, Census Tract 5.01, Kings County, New York",2212,395,1557,406,505,206,261,133,192,117,69,56,238,130,59,41,179,104,6,13,0,12,6,13,0,12,150,96
1500000US360470005012,360470005012,"Block Group 2, Census Tract 5.01, Kings County, New York",1033,269,899,273,134,111,134,111,123,106,11,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470005013,360470005013,"Block Group 3, Census Tract 5.01, Kings County, New York",1088,312,839,326,247,149,131,120,131,120,0,12,116,90,100,80,16,25,0,12,0,12,0,12,0,12,2,5
1500000US360470005021,360470005021,"Block Group 1, Census Tract 5.02, Kings County, New York",1422,202,1202,224,206,121,172,103,146,92,26,40,33,38,1,3,32,38,0,12,0,12,0,12,1,3,14,21
1500000US360470005022,360470005022,"Block Group 2, Census Tract 5.02, Kings County, New York",1062,206,807,178,255,134,159,91,106,66,53,55,96,107,16,25,80,102,0,12,0,12,0,12,0,12,0,12
1500000US360470007001,360470007001,"Block Group 1, Census Tract 7, Kings County, New York",1485,278,1279,279,197,109,116,83,116,83,0,12,81,81,81,81,0,12,0,12,0,12,0,12,0,12,9,15
1500000US360470007002,360470007002,"Block Group 2, Census Tract 7, Kings County, New York",678,175,658,171,20,30,20,30,10,15,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470007003,360470007003,"Block Group 3, Census Tract 7, Kings County, New York",1575,273,1321,284,230,167,204,160,204,160,0,12,26,38,26,38,0,12,0,12,0,12,0,12,0,12,24,31
1500000US360470009001,360470009001,"Block Group 1, Census Tract 9, Kings County, New York",2322,361,1794,332,503,143,341,130,328,127,13,15,162,99,92,56,70,69,0,12,0,12,0,12,0,12,25,28
1500000US360470009002,360470009002,"Block Group 2, Census Tract 9, Kings County, New York",1946,366,1569,327,322,148,162,114,145,103,17,23,160,99,99,84,61,92,0,12,0,12,0,12,0,12,55,93
1500000US360470011001,360470011001,"Block Group 1, Census Tract 11, Kings County, New York",580,69,351,67,217,73,131,56,131,56,0,12,86,57,56,37,30,38,0,12,0,12,0,12,0,12,12,17
1500000US360470013001,360470013001,"Block Group 1, Census Tract 13, Kings County, New York",1600,157,1452,177,148,72,148,72,144,73,4,7,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470013002,360470013002,"Block Group 2, Census Tract 13, Kings County, New York",946,257,785,254,138,67,11,24,11,24,0,12,103,49,46,50,57,50,11,25,0,12,11,25,13,27,23,24
1500000US360470015001,360470015001,"Block Group 1, Census Tract 15, Kings County, New York",1226,206,943,200,240,108,203,101,178,99,25,30,37,40,28,32,9,15,0,12,0,12,0,12,0,12,43,36
1500000US360470015002,360470015002,"Block Group 2, Census Tract 15, Kings County, New York",1437,302,1335,297,102,75,102,75,91,72,11,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470015003,360470015003,"Block Group 3, Census Tract 15, Kings County, New York",1832,324,1211,241,518,168,441,163,391,154,50,50,77,70,77,70,0,12,0,12,0,12,0,12,0,12,103,95
1500000US360470018000,360470018000,"Block Group 0, Census Tract 18, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470018001,360470018001,"Block Group 1, Census Tract 18, Kings County, New York",2308,342,1287,194,785,219,596,174,446,151,150,79,158,100,31,40,127,92,16,28,0,12,16,28,15,26,236,123
1500000US360470020001,360470020001,"Block Group 1, Census Tract 20, Kings County, New York",705,269,570,233,128,116,97,101,97,101,0,12,31,29,23,25,8,13,0,12,0,12,0,12,0,12,7,11
1500000US360470020002,360470020002,"Block Group 2, Census Tract 20, Kings County, New York",674,159,599,149,75,74,75,74,75,74,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470021001,360470021001,"Block Group 1, Census Tract 21, Kings County, New York",1198,289,1091,300,107,82,107,82,107,82,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470021002,360470021002,"Block Group 2, Census Tract 21, Kings County, New York",1758,322,1214,294,544,255,473,227,445,226,28,28,64,74,49,50,15,32,7,14,7,14,0,12,0,12,0,12
1500000US360470021003,360470021003,"Block Group 3, Census Tract 21, Kings County, New York",779,179,597,139,182,132,110,74,110,74,0,12,72,74,72,74,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470022001,360470022001,"Block Group 1, Census Tract 22, Kings County, New York",1437,348,1211,317,226,164,214,165,214,165,0,12,12,24,12,24,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470022002,360470022002,"Block Group 2, Census Tract 22, Kings County, New York",1468,448,1093,412,319,332,309,337,309,337,0,12,10,14,10,14,0,12,0,12,0,12,0,12,0,12,56,63
1500000US360470022003,360470022003,"Block Group 3, Census Tract 22, Kings County, New York",1705,326,1519,321,186,129,177,125,177,125,0,12,9,14,9,14,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470023001,360470023001,"Block Group 1, Census Tract 23, Kings County, New York",1338,357,1249,350,82,65,82,65,82,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,12
1500000US360470023002,360470023002,"Block Group 2, Census Tract 23, Kings County, New York",1408,328,1267,327,141,142,128,142,128,142,0,12,13,15,7,11,6,9,0,12,0,12,0,12,0,12,0,12
1500000US360470023003,360470023003,"Block Group 3, Census Tract 23, Kings County, New York",1077,344,961,341,96,51,89,48,89,48,0,12,7,14,7,14,0,12,0,12,0,12,0,12,0,12,20,32
1500000US360470029011,360470029011,"Block Group 1, Census Tract 29.01, Kings County, New York",2261,306,2061,304,200,106,191,104,191,104,0,12,9,15,9,15,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470029012,360470029012,"Block Group 2, Census Tract 29.01, Kings County, New York",1072,459,674,290,398,269,363,217,332,193,31,47,35,76,35,76,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470030001,360470030001,"Block Group 1, Census Tract 30, Kings County, New York",725,141,631,157,84,83,78,83,78,83,0,12,6,9,6,9,0,12,0,12,0,12,0,12,0,12,10,16
1500000US360470030002,360470030002,"Block Group 2, Census Tract 30, Kings County, New York",1200,279,1066,214,134,149,134,149,134,149,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470031001,360470031001,"Block Group 1, Census Tract 31, Kings County, New York",1888,274,1386,214,467,213,384,210,384,210,0,12,77,58,65,57,12,16,3,5,0,12,3,5,3,5,35,53
1500000US360470031002,360470031002,"Block Group 2, Census Tract 31, Kings County, New York",690,308,547,279,129,96,83,56,45,50,38,46,46,45,31,44,15,30,0,12,0,12,0,12,0,12,14,19
1500000US360470031003,360470031003,"Block Group 3, Census Tract 31, Kings County, New York",82,37,31,33,51,41,51,41,51,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470033001,360470033001,"Block Group 1, Census Tract 33, Kings County, New York",947,240,787,231,131,90,112,92,112,92,0,12,19,22,19,22,0,12,0,12,0,12,0,12,0,12,29,47
1500000US360470033002,360470033002,"Block Group 2, Census Tract 33, Kings County, New York",1988,336,1289,256,551,240,466,235,414,231,52,51,85,63,75,61,10,15,0,12,0,12,0,12,0,12,148,151
1500000US360470034000,360470034000,"Block Group 0, Census Tract 34, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470034001,360470034001,"Block Group 1, Census Tract 34, Kings County, New York",1076,401,999,405,72,56,48,48,48,48,0,12,24,27,24,27,0,12,0,12,0,12,0,12,0,12,5,9
1500000US360470034002,360470034002,"Block Group 2, Census Tract 34, Kings County, New York",1183,415,1054,413,129,92,129,92,129,92,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470034003,360470034003,"Block Group 3, Census Tract 34, Kings County, New York",1025,306,933,301,92,60,92,60,92,60,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470035001,360470035001,"Block Group 1, Census Tract 35, Kings County, New York",521,125,493,124,28,26,28,26,28,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470035002,360470035002,"Block Group 2, Census Tract 35, Kings County, New York",985,144,897,148,88,82,51,69,51,69,0,12,37,42,37,42,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470036001,360470036001,"Block Group 1, Census Tract 36, Kings County, New York",1455,417,1440,415,15,19,14,20,14,20,0,12,1,2,1,2,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470036002,360470036002,"Block Group 2, Census Tract 36, Kings County, New York",1681,427,1459,394,222,194,204,190,204,190,0,12,18,26,18,26,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470036003,360470036003,"Block Group 3, Census Tract 36, Kings County, New York",1119,281,897,206,96,115,96,115,70,110,26,36,0,12,0,12,0,12,0,12,0,12,0,12,0,12,126,201
1500000US360470037001,360470037001,"Block Group 1, Census Tract 37, Kings County, New York",717,92,431,76,275,85,198,73,171,60,27,45,77,60,46,48,31,33,0,12,0,12,0,12,0,12,11,22
1500000US360470038000,360470038000,"Block Group 0, Census Tract 38, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470038001,360470038001,"Block Group 1, Census Tract 38, Kings County, New York",1695,236,1604,223,91,60,72,54,60,50,12,18,19,30,0,12,19,30,0,12,0,12,0,12,0,12,0,12
1500000US360470039001,360470039001,"Block Group 1, Census Tract 39, Kings County, New York",1508,317,1140,293,348,149,245,127,190,109,55,65,93,75,57,52,36,44,0,12,0,12,0,12,10,17,20,32
1500000US360470039002,360470039002,"Block Group 2, Census Tract 39, Kings County, New York",519,92,402,88,117,77,66,61,66,61,0,12,51,53,41,57,10,16,0,12,0,12,0,12,0,12,0,12
1500000US360470039003,360470039003,"Block Group 3, Census Tract 39, Kings County, New York",448,175,407,174,41,39,30,36,30,36,0,12,11,16,0,12,11,16,0,12,0,12,0,12,0,12,0,12
1500000US360470041001,360470041001,"Block Group 1, Census Tract 41, Kings County, New York",1500,334,1248,334,229,101,170,84,160,85,10,15,54,54,25,28,29,47,5,11,5,11,0,12,0,12,23,25
1500000US360470041002,360470041002,"Block Group 2, Census Tract 41, Kings County, New York",1262,252,1083,228,179,136,169,135,169,135,0,12,10,15,10,15,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470041003,360470041003,"Block Group 3, Census Tract 41, Kings County, New York",814,229,725,221,89,69,89,69,89,69,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470043001,360470043001,"Block Group 1, Census Tract 43, Kings County, New York",139,233,62,138,77,108,45,60,44,58,1,3,32,59,24,44,8,15,0,12,0,12,0,12,0,12,0,12
1500000US360470043002,360470043002,"Block Group 2, Census Tract 43, Kings County, New York",778,159,701,162,77,54,64,48,64,48,0,12,13,21,13,21,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470043003,360470043003,"Block Group 3, Census Tract 43, Kings County, New York",870,238,658,225,194,100,116,75,109,72,7,14,75,56,58,46,17,15,3,6,0,12,3,6,0,12,18,18
1500000US360470043004,360470043004,"Block Group 4, Census Tract 43, Kings County, New York",1252,182,981,180,259,102,173,81,163,76,10,17,86,60,86,60,0,12,0,12,0,12,0,12,0,12,12,19
1500000US360470044000,360470044000,"Block Group 0, Census Tract 44, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470044001,360470044001,"Block Group 1, Census Tract 44, Kings County, New York",1506,231,1473,231,33,39,33,39,24,37,9,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470044002,360470044002,"Block Group 2, Census Tract 44, Kings County, New York",994,184,889,196,105,67,82,64,65,60,17,20,23,26,23,26,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470045001,360470045001,"Block Group 1, Census Tract 45, Kings County, New York",1195,209,927,201,246,129,161,112,161,112,0,12,85,63,57,46,28,45,0,12,0,12,0,12,0,12,22,25
1500000US360470045002,360470045002,"Block Group 2, Census Tract 45, Kings County, New York",715,146,554,148,161,71,133,68,133,68,0,12,28,20,18,20,10,15,0,12,0,12,0,12,0,12,0,12
1500000US360470045003,360470045003,"Block Group 3, Census Tract 45, Kings County, New York",838,187,799,189,39,31,32,29,32,29,0,12,7,12,7,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470045004,360470045004,"Block Group 4, Census Tract 45, Kings County, New York",508,138,430,123,78,68,78,68,78,68,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470046000,360470046000,"Block Group 0, Census Tract 46, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470046001,360470046001,"Block Group 1, Census Tract 46, Kings County, New York",1373,133,1210,143,147,97,116,87,95,80,21,38,31,28,23,20,8,11,0,12,0,12,0,12,0,12,16,19
1500000US360470047001,360470047001,"Block Group 1, Census Tract 47, Kings County, New York",1495,187,1340,185,155,97,90,60,90,60,0,12,65,77,65,77,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470049001,360470049001,"Block Group 1, Census Tract 49, Kings County, New York",957,211,646,195,278,93,239,88,192,66,47,50,37,36,33,35,4,5,2,4,0,12,2,4,0,12,33,38
1500000US360470049002,360470049002,"Block Group 2, Census Tract 49, Kings County, New York",763,186,527,172,161,112,161,112,161,112,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,75,72
1500000US360470049003,360470049003,"Block Group 3, Census Tract 49, Kings County, New York",690,155,532,152,158,78,114,63,114,63,0,12,36,42,0,12,36,42,8,13,0,12,8,13,0,12,0,12
1500000US360470050000,360470050000,"Block Group 0, Census Tract 50, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470050001,360470050001,"Block Group 1, Census Tract 50, Kings County, New York",631,203,524,162,80,107,80,107,80,107,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,27,41
1500000US360470050002,360470050002,"Block Group 2, Census Tract 50, Kings County, New York",960,198,939,201,21,31,21,31,12,16,9,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470050003,360470050003,"Block Group 3, Census Tract 50, Kings County, New York",698,172,665,172,33,34,33,34,22,27,11,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470051001,360470051001,"Block Group 1, Census Tract 51, Kings County, New York",328,109,284,92,44,47,29,43,0,12,29,43,15,23,15,23,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470051002,360470051002,"Block Group 2, Census Tract 51, Kings County, New York",882,229,873,229,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,14
1500000US360470051003,360470051003,"Block Group 3, Census Tract 51, Kings County, New York",892,202,651,197,241,115,241,115,241,115,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470052010,360470052010,"Block Group 0, Census Tract 52.01, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470052011,360470052011,"Block Group 1, Census Tract 52.01, Kings County, New York",1698,199,1538,219,160,79,115,65,99,58,16,17,45,48,45,48,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470052020,360470052020,"Block Group 0, Census Tract 52.02, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470052021,360470052021,"Block Group 1, Census Tract 52.02, Kings County, New York",1228,222,1199,228,29,37,29,37,29,37,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470052022,360470052022,"Block Group 2, Census Tract 52.02, Kings County, New York",1165,234,967,234,198,146,197,146,190,146,7,12,1,2,0,12,1,2,0,12,0,12,0,12,0,12,0,12
1500000US360470053000,360470053000,"Block Group 0, Census Tract 53, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470053001,360470053001,"Block Group 1, Census Tract 53, Kings County, New York",385,146,289,139,96,73,92,73,78,72,14,23,4,6,0,12,4,6,0,12,0,12,0,12,0,12,0,12
1500000US360470053002,360470053002,"Block Group 2, Census Tract 53, Kings County, New York",1331,390,1071,326,252,232,251,232,251,232,0,12,1,3,0,12,1,3,0,12,0,12,0,12,0,12,8,12
1500000US360470053003,360470053003,"Block Group 3, Census Tract 53, Kings County, New York",387,167,357,166,30,32,30,32,30,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470053004,360470053004,"Block Group 4, Census Tract 53, Kings County, New York",229,99,180,93,49,38,30,27,19,22,11,17,19,27,19,27,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470054000,360470054000,"Block Group 0, Census Tract 54, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470054001,360470054001,"Block Group 1, Census Tract 54, Kings County, New York",1625,207,1455,241,170,115,153,113,137,111,16,18,17,19,8,12,9,15,0,12,0,12,0,12,0,12,0,12
1500000US360470054002,360470054002,"Block Group 2, Census Tract 54, Kings County, New York",640,236,616,240,24,27,24,27,24,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470054003,360470054003,"Block Group 3, Census Tract 54, Kings County, New York",1154,310,938,302,206,119,182,114,143,105,39,43,24,37,24,37,0,12,0,12,0,12,0,12,0,12,10,16
1500000US360470056010,360470056010,"Block Group 0, Census Tract 56.01, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470056011,360470056011,"Block Group 1, Census Tract 56.01, Kings County, New York",1079,258,918,230,161,113,161,113,161,113,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470056012,360470056012,"Block Group 2, Census Tract 56.01, Kings County, New York",1460,267,1317,284,73,44,54,37,48,33,6,10,19,23,0,12,19,23,0,12,0,12,0,12,0,12,70,98
1500000US360470056020,360470056020,"Block Group 0, Census Tract 56.02, Kings County, New York",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470056021,360470056021,"Block Group 1, Census Tract 56.02, Kings County, New York",1842,314,1630,331,169,95,154,94,154,94,0,12,15,17,14,17,1,3,0,12,0,12,0,12,0,12,43,43
1500000US360470058001,360470058001,"Block Group 1, Census Tract 58, Kings County, New York",1234,307,1025,326,209,137,171,132,171,132,0,12,38,38,30,36,8,12,0,12,0,12,0,12,0,12,0,12
1500000US360470058002,360470058002,"Block Group 2, Census Tract 58, Kings County, New York",1399,295,1290,296,109,61,100,58,83,51,17,25,9,14,9,14,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470058003,360470058003,"Block Group 3, Census Tract 58, Kings County, New York",726,209,660,194,66,81,66,81,66,81,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470059001,360470059001,"Block Group 1, Census Tract 59, Kings County, New York",639,134,560,144,79,45,79,45,65,41,14,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470059002,360470059002,"Block Group 2, Census Tract 59, Kings County, New York",599,231,486,217,113,70,59,58,23,39,36,43,54,78,0,12,54,78,0,12,0,12,0,12,0,12,0,12
1500000US360470060001,360470060001,"Block Group 1, Census Tract 60, Kings County, New York",1075,263,996,282,79,88,79,88,79,88,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470060002,360470060002,"Block Group 2, Census Tract 60, Kings County, New York",1063,256,1024,256,30,33,11,16,11,16,0,12,19,28,0,12,19,28,0,12,0,12,0,12,0,12,9,13
1500000US360470060003,360470060003,"Block Group 3, Census Tract 60, Kings County, New York",551,194,533,194,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,27
1500000US360470062001,360470062001,"Block Group 1, Census Tract 62, Kings County, New York",792,180,692,193,100,67,100,67,100,67,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470062002,360470062002,"Block Group 2, Census Tract 62, Kings County, New York",1380,322,1300,328,80,50,80,50,70,48,10,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470062003,360470062003,"Block Group 3, Census Tract 62, Kings County, New York",566,209,566,209,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470063001,360470063001,"Block Group 1, Census Tract 63, Kings County, New York",835,159,691,151,144,99,105,90,105,90,0,12,24,26,19,25,5,8,6,9,6,9,0,12,9,13,0,12
1500000US360470063002,360470063002,"Block Group 2, Census Tract 63, Kings County, New York",920,174,761,184,127,82,104,79,104,79,0,12,15,17,5,8,10,15,0,12,0,12,0,12,8,12,32,47
1500000US360470064001,360470064001,"Block Group 1, Census Tract 64, Kings County, New York",1032,324,831,303,140,170,105,119,96,119,9,14,35,51,35,51,0,12,0,12,0,12,0,12,0,12,61,71
1500000US360470064002,360470064002,"Block Group 2, Census Tract 64, Kings County, New York",1340,367,1312,367,28,21,28,21,28,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470064003,360470064003,"Block Group 3, Census Tract 64, Kings County, New York",1450,387,1420,390,30,29,19,22,19,22,0,12,11,17,11,17,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470065001,360470065001,"Block Group 1, Census Tract 65, Kings County, New York",738,235,456,205,282,253,281,253,281,253,0,12,1,2,1,2,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470065002,360470065002,"Block Group 2, Census Tract 65, Kings County, New York",579,213,563,214,16,25,16,25,0,12,16,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360470065003,360470065003,"Block Group 3, Census Tract 65, Kings County, New York",512,206,326,156,175,153,175,153,133,114,42,59,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,19
1500000US360470065004,360470065004,"Block Group 4, Census Tract 65, Kings County, New York",781,323,706,310,75,123,75,123,75,123,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
